id_client,Probality_of_churn
3463,0.4793225701720245
1869,0.001369621694137212
3760,0.4804417553232625
1463,0.6463021237967254
688,0.02726830556204467
2478,0.337974271633796
242,0.006735508766461197
3395,0.10639065449843947
3150,0.09972576724420802
793,0.011185313681155225
3653,0.20218357715579865
1097,0.9682920476773899
3125,0.019194858272113317
1716,0.0542651249096463
4872,0.0012792458141017682
4948,0.2909972562115499
2946,0.009846308131850742
2230,0.003090488644229545
1270,0.0018161000457307607
1661,0.27197063092726975
2090,0.03940568874832832
3549,0.003871273688070701
6826,0.012435922860190957
348,0.16148963026916557
274,0.6494776631451342
5912,0.3060808880191926
5142,0.01861657260352285
2034,0.0614025039305683
451,0.14727637133661603
4280,0.00781247957137184
5512,0.09957000750334213
1975,0.026317633745847665
6899,0.4006240257399315
3776,0.04669627672055715
4500,0.073217504300863
6706,0.05765241224621148
5028,0.04876476352717856
3487,0.005319662299805725
6741,0.9822996638270104
5565,0.41666868340976726
5356,0.12989261195777457
5089,0.15447433822121912
601,0.00886434648563021
2346,0.07643303276291818
3513,0.019550159821785217
1886,0.009333490932679512
3201,0.029872112420808068
6306,0.05512354744768609
620,0.49682474796884657
4033,0.01102762629676572
244,0.4231041898005354
5760,0.17538925721772186
1085,0.9586404235949657
4582,0.008487802838991091
1992,0.6223841446434553
3384,0.9941529682573649
6222,0.028725935160968743
5897,0.0010397723009544153
216,0.005803493105210642
4764,0.29927778061074856
2121,0.15901400628924975
677,0.9788985407750265
5592,0.011178137392269505
6471,0.08741304282356972
2304,0.013703937061830698
6957,0.32600681996297237
1626,0.009345934449269623
1790,0.9765804341548352
968,0.011694035773100036
5458,0.9274856207091073
3132,0.6378453701251166
1217,0.013751042910639909
2301,0.3964237981664911
4274,0.0206821132499422
3612,0.6934219711653415
3708,0.0763778819814012
6025,0.06749365799312354
241,0.09674682339432134
4484,0.5909310411966421
2811,0.005123889612740072
3475,0.11235913279622826
4720,0.07865521947552293
3617,0.49837425847714184
2457,0.07687058981348803
5527,0.12002810830783006
368,0.05428649085761914
4195,0.061689136610346855
2613,0.7042101064605117
2691,0.43093318772013617
3897,0.07070130155224952
5232,0.0649137941989942
3306,0.6658219166705508
6214,0.021111543219192667
1379,0.016616269165927258
5678,0.43007838616340394
1,0.09353688716623436
2420,0.22915001045265737
3241,0.8884624156295047
2938,0.025281489970032135
5648,0.08694565774131979
3367,0.03106988907180607
4564,0.20356178995350793
3320,0.3445630437217083
4256,0.00981233362496765
5200,0.05397352245199695
